Site	URL	Use
Train	https://developer.transportapi.com/documentation/train-information	
Train	https://www.bart.gov/schedules/developers/api	
Train	https://www.google.com/search?q=train+api&oq=train+api&aqs=chrome..69i57.1972j0j7&sourceid=chrome&ie=UTF-8	
Weather	https://darksky.net/dev	
Celestial Navigation	https://www.google.com/search?q=celestial+navigation+api&oq=celestial+navigation+api&aqs=chrome..69i57.7022j0j7&sourceid=chrome&ie=UTF-8	
Wolfram	http://products.wolframalpha.com/api/	
Math APIs	https://www.programmableweb.com/category/math/api	
Math APIs	https://www.google.com/search?q=math+problems+api&oq=math+problems+api&aqs=chrome..69i57.5129j0j7&sourceid=chrome&ie=UTF-8	
Meetup.com	https://www.meetup.com/meetup_api/	
See click fix	https://seeclickfix.com/users/10584/api_keys	
google maps	https://mail.google.com/mail/u/0/#search/from%3Agoogle-maps-platform-noreply%40google.com+OR+to%3Agoogle-maps-platform-noreply%40google.com/1632287b8a3043b2	
Firebase (goo.gl)	https://firebase.google.com/docs/dynamic-links/create-links	
Dexcom	https://developer.dexcom.com/getting-started	
Google calendar api	https://developers.google.com/calendar/	To view the completed events by time of day or day of week. Or both. For feedback on when I should move them to.
Goodreads api		Note Sure yet.
api bookmarks	chrome://bookmarks/?q=API	
Below is a somewhat random list of pages to use for a project/app.		
GitHub	https://www.google.com/search?q=github+api&oq=github+api&aqs=chrome..69i57j69i59j69i64j69i60j69i65.4550j0j7&sourceid=chrome&ie=UTF-8	
FiveThrityEight		
NOAA		
NIH		
	https://www.google.com/search?q=data+set&oq=data+set&aqs=chrome..69i57j69i65.2761j0j7&sourceid=chrome&ie=UTF-8	
RaspberryPi		
	https://www.dataquest.io/blog/free-datasets-for-projects/	
	https://www.kaggle.com/datasets	
	https://www.tensorflow.org/api_docs/python/tf/data/Dataset	
CodeForDurham & D3 project - something that code for durham can benefit from too.		
	https://opendurham.nc.gov/pages/home/	
Voter data.		
EPA data.		
NASA data.		
Census data.		
National parks data.		
GovTrack	https://github.com/govtrack/govtrack.us-web	
Government bills		
	https://api.data.gov/docs/api-key/	
Google developer apis	https://www.youtube.com/watch?v=JbWnRhHfTDA	